# Every unique Lua C function name the engine registers.
# 1488 pairs, 1432 distinct names.
# A trailing [STUB] marks the noop stub at 0x006AEF90
# (function was stripped from the retail build).

name                                              address     notes
--------------------------------------------------------------------------------
0123456789ABCDEF                                  0x02118D74
_DYNAMIC_IMPORT                                   0x005AE570
_DYNAMIC_REMOVE                                   0x005AEA40
_GC                                               0x005F6C30
_GETFENV                                          0x005AE150
_GetLibVersion                                    0x005E42A0
_IMPORT                                           0x005AE2C0
_INHERIT                                          0x005AE3A0
_MarkerAdd                                        0x005B32F0
_MarkerAdd3D                                      0x005B3AD0
_MarkerAddDisc                                    0x005B38C0
_MarkerAddOld                                     0x005B3D90
_MarkerAddTripwire                                0x005B36B0
_MarkerHaltPulse                                  0x005B42A0
_MarkerPulse                                      0x005B4180
_MarkerRemove                                     0x005B4100
_MarkerSetBlipLimit                               0x005B3D20
_MarkerSetColor                                   0x005B43F0
_MarkerSetFollowGuid                              0x005B4540
_MarkerSetLocation                                0x005B4320
_MarkerSetScale                                   0x005B4600
_MODULEINDEX                                      0x005AEB80
_SummonEd                                         0x006AEF90  [STUB]
abs                                               0x005C5960
AchievementAddCount                               0x005D8400
AchievementIsGranted                              0x005D8320
ActivateAlarm                                     0x005C0350
ActivateFactionRegionMusic                        0x005E1C60
ActivateWidget                                    0x005B5B40
add                                               0x007D30A0
AddBoundary                                       0x005DC8F0
AddCash                                           0x005DF500
AddContextAction                                  0x005D7620
AddCueToMusicSourcePlaylist                       0x005E2360
AddFactionMusic                                   0x005E17A0
AddFadeCategory                                   0x006AEF90  [STUB]
AddFuel                                           0x005DF660
AddInfraction                                     0x005AB0E0
AddLabel                                          0x005CE8F0
addListener                                       0x007899B0
addListener                                       0x007AA4D0
addListener                                       0x007AE140
AddMusicSourcePlaylist                            0x005E21D0
AddMusicState                                     0x005E1F40
AddMusicTransition                                0x005E20B0
AddObject                                         0x005F6E90
AddObjective                                      0x006AEF90  [STUB]
AddPdaMapBlips                                    0x005BCE60
AddPitchCategory                                  0x006AEF90  [STUB]
addProperty                                       0x007868D0
AddQualityRef                                     0x005D1AF0
addRequestHeader                                  0x007D18D0
AddRoadException                                  0x006AEF90  [STUB]
AddSatelliteScanTarget                            0x005DBCE0
AddSequence                                       0x005EA360
AddSkirmishTemplate                               0x005DA000
AddSourceMusicEntryState                          0x005E1D00
AddStringDb                                       0x005E6120
AddSubject                                        0x005AA740
AddToDisposer                                     0x005D28F0
AddWidgetChild                                    0x005B66D0
AdjustPursuitLevel                                0x005D8900
AdjustPursuitTimer                                0x005D8B40
Admire                                            0x005AAA30
AM                                                0x02118CD8
AmbientSides                                      0x005B2950
AmbientTop                                        0x005B2750
Anchor                                            0x005A7FA0
AnimateSprite                                     0x005BBEB0
AnimateText                                       0x005B8AB0
appendHtml                                        0x007A7330
appendText                                        0x007A72B0
ApplyAngularImpulse                               0x005D0220
ApplyCachedFactionRelations                       0x005C9280
ApplyImpulse                                      0x005CFED0
ApplyPointImpulse                                 0x005D0050
Apr                                               0x02118D64
April                                             0x02118D64
AreEqual                                          0x005CE310
Assert                                            0x006AEF90  [STUB]
assert                                            0x00861570
AssetExists                                       0x005D53D0
Attach                                            0x005D1050
attachBitmap                                      0x00794820
AttachCargoToWinch                                0x005D1FD0
attachMovie                                       0x007945C0
attachSound                                       0x006B9360
AttachToCharacter                                 0x005DE4D0
Aug                                               0x02118D54
August                                            0x02118D00
AutoClient                                        0x005C6880
AutoLoad                                          0x005E5430
AutoLobby                                         0x005C6880
AutoServer                                        0x005C68C0
Begin                                             0x005B16C0
beginBitmapFill                                   0x00797110
beginFill                                         0x007966D0
beginGradientFill                                 0x00797050
BeginLayerEventGroup                              0x005C9160
BeginQueuedAcceleration                           0x005D26F0
BindFaceAnimSet                                   0x005ADA80
BindMusicCue                                      0x005E1440
BindToLocal                                       0x005DE680
BindToRemote                                      0x005DE730
BIO                                               0x02124860
Blend                                             0x005AFD50
BMPSTRING                                         0x02146C38
bn                                                0x02136A58
BN_BLINDING_convert_ex                            0x03080000
BN_BLINDING_create_param                          0x03065000
BN_BLINDING_invert_ex                             0x03066000
BN_BLINDING_new                                   0x03067000
BN_BLINDING_update                                0x03068000
BN_bn2dec                                         0x03069000
BN_bn2hex                                         0x03074000
BN_CTX_get                                        0x0306A000
BN_CTX_new                                        0x03081000
BN_CTX_start                                      0x0306B000
BN_div                                            0x03082000
BN_div_recp                                       0x0307B000
BN_exp                                            0x0306C000
bn_expand2                                        0x03078000
BN_EXPAND_INTERNAL                                0x03083000
BN_GF2m_mod                                       0x03084000
BN_GF2m_mod_exp                                   0x03085000
BN_GF2m_mod_mul                                   0x03086000
BN_GF2m_mod_solve_quad                            0x03087000
BN_GF2m_mod_solve_quad_arr                        0x03088000
BN_GF2m_mod_sqr                                   0x03089000
BN_GF2m_mod_sqrt                                  0x03076000
BN_mod_exp2_mont                                  0x0306D000
BN_mod_exp_mont                                   0x0307C000
BN_mod_exp_mont_consttime                         0x03075000
BN_mod_exp_mont_word                              0x0307D000
BN_mod_exp_recp                                   0x0307E000
BN_mod_exp_simple                                 0x0306E000
BN_mod_inverse                                    0x03077000
BN_mod_lshift_quick                               0x0306F000
BN_mod_mul_reciprocal                             0x03079000
BN_mod_sqrt                                       0x03070000
BN_mpi2bn                                         0x03071000
BN_new                                            0x03072000
BN_rand                                           0x0307A000
BN_rand_range                                     0x03073000
BNRAND                                            0x03064000
broadcastMessage                                  0x007899F0
broadcastMessage                                  0x007AA4D0
byte                                              0x008638C0
Callback                                          0x005E53A0
CallFlashScriptFunction                           0x005BB160
CameraFade                                        0x005B26A0
Cancel                                            0x005EA040
CancelAll                                         0x005EA160
CancelHijack                                      0x005E9570
ceil                                              0x005C59E0
Change                                            0x005B0C40
ChangeLineRegionSetting                           0x005B0D10
ChangeRelation                                    0x005AAEE0
ChangeShellState                                  0x005C3750
char                                              0x00863A80
charAt                                            0x007AF110
charCodeAt                                        0x007AF240
CheckSpawnPos                                     0x005DB690
CK                                                0x021054EC
ClaimSeat                                         0x005DED10
clear                                             0x00796680
ClearAssociation                                  0x005F7400
ClearControls                                     0x005E9BE0
ClearCustomPursuit                                0x005D9C00
ClearFadeCategories                               0x005E38A0
ClearFilter                                       0x005F6DD0
ClearGPS                                          0x005DFED0
ClearMusicCues                                    0x005E1520
ClearMusicSourcePlaylist                          0x005E2270
ClearObjects                                      0x005F71F0
ClearPitchCategories                              0x006AEF90  [STUB]
ClearPlayerDB                                     0x005DE3B0
ClearPursuitLock                                  0x005D8610
ClearPursuitRestrictions                          0x005D9010
ClearRelation                                     0x005F75F0
ClearSourceMusicEntryStates                       0x005E1D90
ClearSourceMusicTransitions                       0x006AEF90  [STUB]
ClearSpawnListChanges                             0x005A56E0
ClearStringDb                                     0x005E6180
Clock                                             0x005E5850
clone                                             0x0079F520
clone                                             0x007ABE40
clone                                             0x007D31B0
CloseDoor                                         0x005E8C90
CloseGate                                         0x005D19D0
CloseStreamFile                                   0x005E4070
collectgarbage                                    0x00860DA0
comp                                              0x02136C20
Completed                                         0x005E09B0
concat                                            0x0078BF00
concat                                            0x0079F5C0
concat                                            0x007AF340
concat                                            0x008629B0
ConeSpawn                                         0x005ACA40
ConnectToServer                                   0x005C6AD0
contains                                          0x007ABF00
containsPoint                                     0x007AC030
containsRectangle                                 0x007AC180
ContractActivated                                 0x005D7DA0
ContractCancelled                                 0x005D7E30
ContractCompleted                                 0x005D7E30
ControllerInUse                                   0x005B2F90
Copy                                              0x005F6CB0
CorrectWidgetForResolution                        0x005B6D60
Create                                            0x005F6990
Create                                            0x005F6C90
create                                            0x00861F20
createBox                                         0x0079F740
createEmptyMovieClip                              0x00794B70
CreateFlashWidget                                 0x005BA670
createGradientBox                                 0x0079F900
CreateImageWidget                                 0x005B7060
CreateMovieWidget                                 0x005BC190
CreatePersistent                                  0x005F69A0
CreatePlayer                                      0x005DE2D0
CreateRegion                                      0x005BFAF0
CreateSpriteWidget                                0x005BB7A0
createTextField                                   0x00794D10
CreateTextWidget                                  0x005B7D30
CreateWidget                                      0x005B4E70
CrossProduct                                      0x005C6050
Cue                                               0x005E9D80
CueAmbience                                       0x005E3090
CueSound                                          0x005E0F90
CueWithoutSubtitles                               0x005E9EE0
curveTo                                           0x00797850
Date                                              0x005E5960
debug_malloc                                      0x02136AC0
debug_malloc2                                     0x02136A90
DebugStateMachine                                 0x006AEF90  [STUB]
Dec                                               0x0210C3C8
Dec                                               0x02118D40
December                                          0x02118CDC
decode                                            0x007D1900
DefaultGoal                                       0x005A7290
DefineReverbPreset                                0x005E3230
deg                                               0x005C5B60
Delete                                            0x005F69B0
DeleteWidget                                      0x005B4F10
Deliver                                           0x005A8FE0
deltaTransformPoint                               0x007A0250
Deploy                                            0x005A93E0
DescribeGuid                                      0x006AEF90  [STUB]
DestroyAllWeapons                                 0x005BF620
DestroyPlayer                                     0x005DE430
